distribution,setting,n_train,n_validation,n_holdout,p,M,C,K,eta,reps,pipeline,mean_validation_mse,mean_holdout_mse,std_validation_mse,std_holdout_mse
t4,low_dimensional,20,20,20,100,5,5,10,1,1,original_leaky,949.0307613747622,857.5589072517514,0.0,0.0
t4,low_dimensional,20,20,20,100,5,5,10,1,1,split_first,1265.0943351574006,1139.0398199331871,0.0,0.0
t4,low_dimensional,40,40,40,100,5,5,10,1,1,original_leaky,523.3356321464898,423.00479464856363,0.0,0.0
t4,low_dimensional,40,40,40,100,5,5,10,1,1,split_first,468.41580590613466,451.3933478967194,0.0,0.0
t4,low_dimensional,60,60,60,100,5,5,10,1,1,original_leaky,436.25541182173583,457.9657016622489,0.0,0.0
t4,low_dimensional,60,60,60,100,5,5,10,1,1,split_first,491.9826690772863,456.4657181208757,0.0,0.0
t4,low_dimensional,20,1,20,100,5,5,10,1,1,original_leaky,3288.4431015161213,415.90036155112983,0.0,0.0
t4,low_dimensional,20,1,20,100,5,5,10,1,1,split_first,6707.980474478892,845.7987407154136,0.0,0.0
t4,low_dimensional,40,1,40,100,5,5,10,1,1,original_leaky,41.26051976913382,793.7227141781037,0.0,0.0
t4,low_dimensional,40,1,40,100,5,5,10,1,1,split_first,741.2528601396217,1100.5232069888336,0.0,0.0
t4,low_dimensional,60,1,60,100,5,5,10,1,1,original_leaky,69.23812379347406,354.6422649005302,0.0,0.0
t4,low_dimensional,60,1,60,100,5,5,10,1,1,split_first,69.23812379347389,354.64226490053017,0.0,0.0
normal,low_dimensional,20,20,20,100,5,5,10,1,1,original_leaky,426.3674683223361,517.7477398068053,0.0,0.0
normal,low_dimensional,20,20,20,100,5,5,10,1,1,split_first,498.0684445659266,574.8232414647318,0.0,0.0
normal,low_dimensional,40,40,40,100,5,5,10,1,1,original_leaky,331.17315619236626,403.0383951584833,0.0,0.0
normal,low_dimensional,40,40,40,100,5,5,10,1,1,split_first,278.6154111860889,383.10827680433556,0.0,0.0
normal,low_dimensional,60,60,60,100,5,5,10,1,1,original_leaky,263.4969323111546,321.7406360686435,0.0,0.0
normal,low_dimensional,60,60,60,100,5,5,10,1,1,split_first,243.2653197202821,283.86920100428506,0.0,0.0
normal,low_dimensional,20,1,20,100,5,5,10,1,1,original_leaky,371.4073047827428,466.65758448819577,0.0,0.0
normal,low_dimensional,20,1,20,100,5,5,10,1,1,split_first,371.40730478274253,466.6575844881956,0.0,0.0
normal,low_dimensional,40,1,40,100,5,5,10,1,1,original_leaky,766.9282704637513,451.5480075999861,0.0,0.0
normal,low_dimensional,40,1,40,100,5,5,10,1,1,split_first,537.676977794999,463.20710012345046,0.0,0.0
normal,low_dimensional,60,1,60,100,5,5,10,1,1,original_leaky,174.87738047893313,252.00184106495485,0.0,0.0
normal,low_dimensional,60,1,60,100,5,5,10,1,1,split_first,221.60111771563876,257.25960698847314,0.0,0.0
t4,high_dimensional,200,200,200,1000,10,10,100,1,1,original_leaky,7481.856473705289,4903.715121826061,0.0,0.0
t4,high_dimensional,200,200,200,1000,10,10,100,1,1,split_first,6755.265359064553,5953.088504089483,0.0,0.0
t4,high_dimensional,400,400,400,1000,10,10,100,1,1,original_leaky,5536.259706448634,4904.349145418307,0.0,0.0
t4,high_dimensional,400,400,400,1000,10,10,100,1,1,split_first,5103.131792426165,4753.42259428397,0.0,0.0
t4,high_dimensional,600,600,600,1000,10,10,100,1,1,original_leaky,4687.587473049431,4506.053447340947,0.0,0.0
t4,high_dimensional,600,600,600,1000,10,10,100,1,1,split_first,4517.052273823665,4297.146170418404,0.0,0.0
t4,high_dimensional,200,1,200,1000,10,10,100,1,1,original_leaky,3440.174481399554,7438.41354107189,0.0,0.0
t4,high_dimensional,200,1,200,1000,10,10,100,1,1,split_first,2794.9378042011103,7242.484564940433,0.0,0.0
t4,high_dimensional,400,1,400,1000,10,10,100,1,1,original_leaky,0.023225387080422925,4307.779306720794,0.0,0.0
t4,high_dimensional,400,1,400,1000,10,10,100,1,1,split_first,0.023225387080417513,4307.779306720794,0.0,0.0
t4,high_dimensional,600,1,600,1000,10,10,100,1,1,original_leaky,9605.234148862124,4237.379830880879,0.0,0.0
t4,high_dimensional,600,1,600,1000,10,10,100,1,1,split_first,9605.23414886212,4237.379830880879,0.0,0.0
normal,high_dimensional,200,200,200,1000,10,10,100,1,1,original_leaky,4145.423313860346,5012.772789952097,0.0,0.0
normal,high_dimensional,200,200,200,1000,10,10,100,1,1,split_first,4373.961335025182,5713.928711111966,0.0,0.0
normal,high_dimensional,400,400,400,1000,10,10,100,1,1,original_leaky,3771.2635324863995,3907.059372815194,0.0,0.0
normal,high_dimensional,400,400,400,1000,10,10,100,1,1,split_first,3474.75498478145,3371.222626049226,0.0,0.0
normal,high_dimensional,600,600,600,1000,10,10,100,1,1,original_leaky,3859.468444651042,3510.6286092385176,0.0,0.0
normal,high_dimensional,600,600,600,1000,10,10,100,1,1,split_first,3584.5106329884466,3478.4373353241376,0.0,0.0
normal,high_dimensional,200,1,200,1000,10,10,100,1,1,original_leaky,8921.791167776662,4576.500163141263,0.0,0.0
normal,high_dimensional,200,1,200,1000,10,10,100,1,1,split_first,21541.239125175725,4784.0220994201045,0.0,0.0
normal,high_dimensional,400,1,400,1000,10,10,100,1,1,original_leaky,52.94190878300493,3727.4156830192915,0.0,0.0
normal,high_dimensional,400,1,400,1000,10,10,100,1,1,split_first,94.80757933049368,3666.288555036952,0.0,0.0
normal,high_dimensional,600,1,600,1000,10,10,100,1,1,original_leaky,1859.801727805924,3508.1949050272938,0.0,0.0
normal,high_dimensional,600,1,600,1000,10,10,100,1,1,split_first,2321.341451989143,3461.9197699741812,0.0,0.0
